dashboard_category,indicator,metric,geography,period,dimension_values,value_raw,value_readable,value_unit,rank_descending_within_source,source_country_count,source_chapter,source_figure,source_csv,source_chart_pdf,relevance_note,original_fields_json
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2009,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",1.8499260279456244,1.8499,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""1.8499260279456244"", ""year"": ""2009""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2010,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",1.6405452573996948,1.6405,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""1.6405452573996948"", ""year"": ""2010""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2011,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",1.7155859581013873,1.7156,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""1.7155859581013873"", ""year"": ""2011""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2012,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",1.7683356345390462,1.7683,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""1.7683356345390462"", ""year"": ""2012""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2013,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",1.9415510226288626,1.9416,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""1.9415510226288626"", ""year"": ""2013""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2014,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",1.8900780578354488,1.8901,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""1.8900780578354488"", ""year"": ""2014""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2015,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",1.7542163113469764,1.7542,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""1.7542163113469764"", ""year"": ""2015""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2016,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",1.7313769299643953,1.7314,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""1.7313769299643953"", ""year"": ""2016""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2017,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",1.8059127432521176,1.8059,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""1.8059127432521176"", ""year"": ""2017""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2018,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",1.9063144748065268,1.9063,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""1.9063144748065268"", ""year"": ""2018""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2019,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",2.0205173636534175,2.0205,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""2.0205173636534175"", ""year"": ""2019""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2020,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",2.2156517276127667,2.2157,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""2.2156517276127667"", ""year"": ""2020""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2021,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",2.211554581370995,2.2116,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""2.211554581370995"", ""year"": ""2021""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2022,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",2.1413834893756425,2.1414,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""2.1413834893756425"", ""year"": ""2022""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2023,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",2.2204099595874407,2.2204,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""2.2204099595874407"", ""year"": ""2023""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2024,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",2.1367371023140516,2.1367,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""2.1367371023140516"", ""year"": ""2024""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2025,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",1.3602780163476407,1.3603,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""1.3602780163476407"", ""year"": ""2025""}"
Models and research,"OECD.AI OpenAlex AI research publications by country, 2000-2026",AI research publications,South Korea,2026,"{""ai_concept"": ""All AI research"", ""country_code"": ""KOR"", ""impact_level"": ""All works"", ""pub_type"": ""All publication types""}",1.8205341676921392,1.8205,source publications measure,3,3,OECD.AI OpenAlex data,oecd_openalex_ai_research_publications,oecd-ai-data\data.csv,,South Korea AI research publication time series from the OECD.AI OpenAlex extract; useful for research output trends.,"{""Country/territory"": ""KOR"", ""Country/territory_label"": ""Korea"", ""ai_concept"": ""All AI research"", ""impact_level"": ""All works"", ""metadata"": ""Description:\nOpenAlex is a free, open, and comprehensive index of scholarly papers, authors, institutions, and more.\nIt is a successor to Microsoft Academic Graph (MAG) and is designed to be a resource for researchers,\ndevelopers and data scientists."", ""pub_type"": ""All publication types"", ""publications"": ""1.8205341676921392"", ""year"": ""2026""}"
Public sector and governance context,"Number of responsible AI papers accepted at selectAI conferences by geographic area, 2025",Number of RAI submissions,South Korea,,{},57,57,count,8,10,3. Responsible AI,fig_3.4.4,3. Responsible AI\Data\fig_3.4.4.csv,3. Responsible AI\Charts\fig_3.4.4.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""Geographic area"": ""South Korea"", ""Number of RAI submissions"": ""57""}"
Public sector and governance context,country; oecd_ai_principles_2019; g20_ai_principles_2019; coe_drafters_2022,ai_action_summit_inclusive_2025,Republic of Korea,,{},1,1,count,8,59,3. Responsible AI,fig_3.5.2,3. Responsible AI\Data\fig_3.5.2.csv,3. Responsible AI\Charts\fig_3.5.2.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""ai_action_summit_inclusive_2025"": ""1"", ""bletchley_declaration_2023"": ""1"", ""coe_drafters_2022"": ""0"", ""country"": ""Republic of Korea"", ""g20_ai_principles_2019"": ""1"", ""g7_hiroshima_ai_process_2023"": ""0"", ""gpai_ministerial_declaration_2022"": ""1"", ""oecd_ai_principles_2019"": ""1"", ""seoul_ministerial_statement_2024"": ""1""}"
Public sector and governance context,country; oecd_ai_principles_2019; g20_ai_principles_2019; coe_drafters_2022,bletchley_declaration_2023,Republic of Korea,,{},1,1,count,9,59,3. Responsible AI,fig_3.5.2,3. Responsible AI\Data\fig_3.5.2.csv,3. Responsible AI\Charts\fig_3.5.2.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""ai_action_summit_inclusive_2025"": ""1"", ""bletchley_declaration_2023"": ""1"", ""coe_drafters_2022"": ""0"", ""country"": ""Republic of Korea"", ""g20_ai_principles_2019"": ""1"", ""g7_hiroshima_ai_process_2023"": ""0"", ""gpai_ministerial_declaration_2022"": ""1"", ""oecd_ai_principles_2019"": ""1"", ""seoul_ministerial_statement_2024"": ""1""}"
Public sector and governance context,country; oecd_ai_principles_2019; g20_ai_principles_2019; coe_drafters_2022,coe_drafters_2022,Republic of Korea,,{},0,0,count,44,59,3. Responsible AI,fig_3.5.2,3. Responsible AI\Data\fig_3.5.2.csv,3. Responsible AI\Charts\fig_3.5.2.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""ai_action_summit_inclusive_2025"": ""1"", ""bletchley_declaration_2023"": ""1"", ""coe_drafters_2022"": ""0"", ""country"": ""Republic of Korea"", ""g20_ai_principles_2019"": ""1"", ""g7_hiroshima_ai_process_2023"": ""0"", ""gpai_ministerial_declaration_2022"": ""1"", ""oecd_ai_principles_2019"": ""1"", ""seoul_ministerial_statement_2024"": ""1""}"
Public sector and governance context,country; oecd_ai_principles_2019; g20_ai_principles_2019; coe_drafters_2022,g20_ai_principles_2019,Republic of Korea,,{},1,1,count,7,59,3. Responsible AI,fig_3.5.2,3. Responsible AI\Data\fig_3.5.2.csv,3. Responsible AI\Charts\fig_3.5.2.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""ai_action_summit_inclusive_2025"": ""1"", ""bletchley_declaration_2023"": ""1"", ""coe_drafters_2022"": ""0"", ""country"": ""Republic of Korea"", ""g20_ai_principles_2019"": ""1"", ""g7_hiroshima_ai_process_2023"": ""0"", ""gpai_ministerial_declaration_2022"": ""1"", ""oecd_ai_principles_2019"": ""1"", ""seoul_ministerial_statement_2024"": ""1""}"
Public sector and governance context,country; oecd_ai_principles_2019; g20_ai_principles_2019; coe_drafters_2022,g7_hiroshima_ai_process_2023,Republic of Korea,,{},0,0,count,23,59,3. Responsible AI,fig_3.5.2,3. Responsible AI\Data\fig_3.5.2.csv,3. Responsible AI\Charts\fig_3.5.2.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""ai_action_summit_inclusive_2025"": ""1"", ""bletchley_declaration_2023"": ""1"", ""coe_drafters_2022"": ""0"", ""country"": ""Republic of Korea"", ""g20_ai_principles_2019"": ""1"", ""g7_hiroshima_ai_process_2023"": ""0"", ""gpai_ministerial_declaration_2022"": ""1"", ""oecd_ai_principles_2019"": ""1"", ""seoul_ministerial_statement_2024"": ""1""}"
Public sector and governance context,country; oecd_ai_principles_2019; g20_ai_principles_2019; coe_drafters_2022,gpai_ministerial_declaration_2022,Republic of Korea,,{},1,1,count,8,59,3. Responsible AI,fig_3.5.2,3. Responsible AI\Data\fig_3.5.2.csv,3. Responsible AI\Charts\fig_3.5.2.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""ai_action_summit_inclusive_2025"": ""1"", ""bletchley_declaration_2023"": ""1"", ""coe_drafters_2022"": ""0"", ""country"": ""Republic of Korea"", ""g20_ai_principles_2019"": ""1"", ""g7_hiroshima_ai_process_2023"": ""0"", ""gpai_ministerial_declaration_2022"": ""1"", ""oecd_ai_principles_2019"": ""1"", ""seoul_ministerial_statement_2024"": ""1""}"
Public sector and governance context,country; oecd_ai_principles_2019; g20_ai_principles_2019; coe_drafters_2022,oecd_ai_principles_2019,Republic of Korea,,{},1,1,count,10,59,3. Responsible AI,fig_3.5.2,3. Responsible AI\Data\fig_3.5.2.csv,3. Responsible AI\Charts\fig_3.5.2.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""ai_action_summit_inclusive_2025"": ""1"", ""bletchley_declaration_2023"": ""1"", ""coe_drafters_2022"": ""0"", ""country"": ""Republic of Korea"", ""g20_ai_principles_2019"": ""1"", ""g7_hiroshima_ai_process_2023"": ""0"", ""gpai_ministerial_declaration_2022"": ""1"", ""oecd_ai_principles_2019"": ""1"", ""seoul_ministerial_statement_2024"": ""1""}"
Public sector and governance context,country; oecd_ai_principles_2019; g20_ai_principles_2019; coe_drafters_2022,seoul_ministerial_statement_2024,Republic of Korea,,{},1,1,count,9,59,3. Responsible AI,fig_3.5.2,3. Responsible AI\Data\fig_3.5.2.csv,3. Responsible AI\Charts\fig_3.5.2.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""ai_action_summit_inclusive_2025"": ""1"", ""bletchley_declaration_2023"": ""1"", ""coe_drafters_2022"": ""0"", ""country"": ""Republic of Korea"", ""g20_ai_principles_2019"": ""1"", ""g7_hiroshima_ai_process_2023"": ""0"", ""gpai_ministerial_declaration_2022"": ""1"", ""oecd_ai_principles_2019"": ""1"", ""seoul_ministerial_statement_2024"": ""1""}"
Public sector and governance context,Global AI data protection and privacy assessment,Data Protection & Privacy,Republic of Korea,,{},24.07,24.07,,63,138,3. Responsible AI,fig_3.6.1,3. Responsible AI\Data\fig_3.6.1.csv,3. Responsible AI\Charts\fig_3.6.1.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""Country"": ""Republic of Korea"", ""Data Protection & Privacy"": ""24.07""}"
Public sector and governance context,Global data protection and privacy legislation,Status_Category,Republic of Korea,,"{""Country Code"": ""KOR""}",Legislation,Legislation,,,,3. Responsible AI,fig_3.6.2,3. Responsible AI\Data\fig_3.6.2.csv,3. Responsible AI\Charts\fig_3.6.2.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""Country Code"": ""KOR"", ""Country/Region"": ""Republic of Korea"", ""Status_Category"": ""Legislation""}"
Public sector and governance context,Global AI bias and unfair discrimination assessment,Bias & Unfair Discrimination,Republic of Korea,,{},6.15,6.15,,71,138,3. Responsible AI,fig_3.7.1,3. Responsible AI\Data\fig_3.7.1.csv,3. Responsible AI\Charts\fig_3.7.1.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""Bias & Unfair Discrimination"": ""6.15"", ""Country"": ""Republic of Korea""}"
Public sector and governance context,Global AI gender equality assessment,Gender Equality,Republic of Korea,,{},0,0,,124,138,3. Responsible AI,fig_3.7.2,3. Responsible AI\Data\fig_3.7.2.csv,3. Responsible AI\Charts\fig_3.7.2.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""Country"": ""Republic of Korea"", ""Gender Equality"": ""0""}"
Public sector and governance context,Global AI cultural and linguistic diversity assessment,Cultural & Linguistic Diversity,Republic of Korea,,{},37.69,37.69,,22,138,3. Responsible AI,fig_3.7.3,3. Responsible AI\Data\fig_3.7.3.csv,3. Responsible AI\Charts\fig_3.7.3.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""Country"": ""Republic of Korea"", ""Cultural & Linguistic Diversity"": ""37.69""}"
Public sector and governance context,Countries with a national strategy on AI,2019,Republic of Korea,2019,{},100,100,count,11,193,8. Policy and Governance,fig_8.2.1,8. Policy and Governance\Data\fig_8.2.1.csv,8. Policy and Governance\Charts\fig_8.2.1.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""2019"": ""100"", ""2020"": ""100"", ""2021"": ""100.0"", ""2022"": ""100"", ""2023"": ""100"", ""2024"": ""100"", ""2025"": ""100.0"", ""Country"": ""Republic of Korea""}"
Public sector and governance context,Countries with a national strategy on AI,2020,Republic of Korea,2020,{},100,100,count,24,193,8. Policy and Governance,fig_8.2.1,8. Policy and Governance\Data\fig_8.2.1.csv,8. Policy and Governance\Charts\fig_8.2.1.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""2019"": ""100"", ""2020"": ""100"", ""2021"": ""100.0"", ""2022"": ""100"", ""2023"": ""100"", ""2024"": ""100"", ""2025"": ""100.0"", ""Country"": ""Republic of Korea""}"
Public sector and governance context,Countries with a national strategy on AI,2021,Republic of Korea,2021,{},100.0,100,count,35,191,8. Policy and Governance,fig_8.2.1,8. Policy and Governance\Data\fig_8.2.1.csv,8. Policy and Governance\Charts\fig_8.2.1.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""2019"": ""100"", ""2020"": ""100"", ""2021"": ""100.0"", ""2022"": ""100"", ""2023"": ""100"", ""2024"": ""100"", ""2025"": ""100.0"", ""Country"": ""Republic of Korea""}"
Public sector and governance context,Countries with a national strategy on AI,2022,Republic of Korea,2022,{},100,100,count,42,193,8. Policy and Governance,fig_8.2.1,8. Policy and Governance\Data\fig_8.2.1.csv,8. Policy and Governance\Charts\fig_8.2.1.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""2019"": ""100"", ""2020"": ""100"", ""2021"": ""100.0"", ""2022"": ""100"", ""2023"": ""100"", ""2024"": ""100"", ""2025"": ""100.0"", ""Country"": ""Republic of Korea""}"
Public sector and governance context,Countries with a national strategy on AI,2023,Republic of Korea,2023,{},100,100,count,46,193,8. Policy and Governance,fig_8.2.1,8. Policy and Governance\Data\fig_8.2.1.csv,8. Policy and Governance\Charts\fig_8.2.1.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""2019"": ""100"", ""2020"": ""100"", ""2021"": ""100.0"", ""2022"": ""100"", ""2023"": ""100"", ""2024"": ""100"", ""2025"": ""100.0"", ""Country"": ""Republic of Korea""}"
Public sector and governance context,Countries with a national strategy on AI,2024,Republic of Korea,2024,{},100,100,count,54,193,8. Policy and Governance,fig_8.2.1,8. Policy and Governance\Data\fig_8.2.1.csv,8. Policy and Governance\Charts\fig_8.2.1.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""2019"": ""100"", ""2020"": ""100"", ""2021"": ""100.0"", ""2022"": ""100"", ""2023"": ""100"", ""2024"": ""100"", ""2025"": ""100.0"", ""Country"": ""Republic of Korea""}"
Public sector and governance context,Countries with a national strategy on AI,2025,Republic of Korea,2025,{},100.0,100,count,63,188,8. Policy and Governance,fig_8.2.1,8. Policy and Governance\Data\fig_8.2.1.csv,8. Policy and Governance\Charts\fig_8.2.1.pdf,"Korea-specific AI policy, governance, public-sector, or legal context indicator.","{""2019"": ""100"", ""2020"": ""100"", ""2021"": ""100.0"", ""2022"": ""100"", ""2023"": ""100"", ""2024"": ""100"", ""2025"": ""100.0"", ""Country"": ""Republic of Korea""}"
