dashboard_category,indicator,metric,geography,period,dimension_values,value_raw,value_readable,value_unit,rank_descending_within_source,source_country_count,source_chapter,source_figure,source_csv,source_chart_pdf,relevance_note,original_fields_json
"Funding, startups, and investment","Private AI investment by focus area and country, 2025",Financial services,South Korea,,{},282156335,"282,156,335",US$,17,75,8. Policy and Governance,fig_8.3.5,8. Policy and Governance\Data\fig_8.3.5.csv,8. Policy and Governance\Charts\fig_8.3.5.pdf,Korea-specific private AI investment or company funding indicator.,"{""Agriculture and environment"": ""0"", ""Business and enterprise services"": ""1727533616"", ""Consumer and lifestyle"": ""817381952"", ""Education"": ""154649908"", ""Financial services"": ""282156335"", ""General-purpose AI capabilities"": ""888859328"", ""Healthcare and life sciences"": ""10931964409"", ""Industry, energy and infrastructure"": ""282862141"", ""Legal services"": ""117400000"", ""Public sector and governance"": ""40536544"", ""Security and defense"": ""98943753"", ""country"": ""South Korea""}"
"Funding, startups, and investment","Private AI investment by focus area and country, 2025",General-purpose AI capabilities,South Korea,,{},888859328,"888,859,328",US$,8,75,8. Policy and Governance,fig_8.3.5,8. Policy and Governance\Data\fig_8.3.5.csv,8. Policy and Governance\Charts\fig_8.3.5.pdf,Korea-specific private AI investment or company funding indicator.,"{""Agriculture and environment"": ""0"", ""Business and enterprise services"": ""1727533616"", ""Consumer and lifestyle"": ""817381952"", ""Education"": ""154649908"", ""Financial services"": ""282156335"", ""General-purpose AI capabilities"": ""888859328"", ""Healthcare and life sciences"": ""10931964409"", ""Industry, energy and infrastructure"": ""282862141"", ""Legal services"": ""117400000"", ""Public sector and governance"": ""40536544"", ""Security and defense"": ""98943753"", ""country"": ""South Korea""}"
"Funding, startups, and investment","Private AI investment by focus area and country, 2025",Healthcare and life sciences,South Korea,,{},10931964409,"10,931,964,409",US$,2,75,8. Policy and Governance,fig_8.3.5,8. Policy and Governance\Data\fig_8.3.5.csv,8. Policy and Governance\Charts\fig_8.3.5.pdf,Korea-specific private AI investment or company funding indicator.,"{""Agriculture and environment"": ""0"", ""Business and enterprise services"": ""1727533616"", ""Consumer and lifestyle"": ""817381952"", ""Education"": ""154649908"", ""Financial services"": ""282156335"", ""General-purpose AI capabilities"": ""888859328"", ""Healthcare and life sciences"": ""10931964409"", ""Industry, energy and infrastructure"": ""282862141"", ""Legal services"": ""117400000"", ""Public sector and governance"": ""40536544"", ""Security and defense"": ""98943753"", ""country"": ""South Korea""}"
"Funding, startups, and investment","Private AI investment by focus area and country, 2025","Industry, energy and infrastructure",South Korea,,{},282862141,"282,862,141",US$,11,75,8. Policy and Governance,fig_8.3.5,8. Policy and Governance\Data\fig_8.3.5.csv,8. Policy and Governance\Charts\fig_8.3.5.pdf,Korea-specific private AI investment or company funding indicator.,"{""Agriculture and environment"": ""0"", ""Business and enterprise services"": ""1727533616"", ""Consumer and lifestyle"": ""817381952"", ""Education"": ""154649908"", ""Financial services"": ""282156335"", ""General-purpose AI capabilities"": ""888859328"", ""Healthcare and life sciences"": ""10931964409"", ""Industry, energy and infrastructure"": ""282862141"", ""Legal services"": ""117400000"", ""Public sector and governance"": ""40536544"", ""Security and defense"": ""98943753"", ""country"": ""South Korea""}"
"Funding, startups, and investment","Private AI investment by focus area and country, 2025",Legal services,South Korea,,{},117400000,"117,400,000",US$,8,75,8. Policy and Governance,fig_8.3.5,8. Policy and Governance\Data\fig_8.3.5.csv,8. Policy and Governance\Charts\fig_8.3.5.pdf,Korea-specific private AI investment or company funding indicator.,"{""Agriculture and environment"": ""0"", ""Business and enterprise services"": ""1727533616"", ""Consumer and lifestyle"": ""817381952"", ""Education"": ""154649908"", ""Financial services"": ""282156335"", ""General-purpose AI capabilities"": ""888859328"", ""Healthcare and life sciences"": ""10931964409"", ""Industry, energy and infrastructure"": ""282862141"", ""Legal services"": ""117400000"", ""Public sector and governance"": ""40536544"", ""Security and defense"": ""98943753"", ""country"": ""South Korea""}"
"Funding, startups, and investment","Private AI investment by focus area and country, 2025",Public sector and governance,South Korea,,{},40536544,"40,536,544",US$,9,75,8. Policy and Governance,fig_8.3.5,8. Policy and Governance\Data\fig_8.3.5.csv,8. Policy and Governance\Charts\fig_8.3.5.pdf,Korea-specific private AI investment or company funding indicator.,"{""Agriculture and environment"": ""0"", ""Business and enterprise services"": ""1727533616"", ""Consumer and lifestyle"": ""817381952"", ""Education"": ""154649908"", ""Financial services"": ""282156335"", ""General-purpose AI capabilities"": ""888859328"", ""Healthcare and life sciences"": ""10931964409"", ""Industry, energy and infrastructure"": ""282862141"", ""Legal services"": ""117400000"", ""Public sector and governance"": ""40536544"", ""Security and defense"": ""98943753"", ""country"": ""South Korea""}"
"Funding, startups, and investment","Private AI investment by focus area and country, 2025",Security and defense,South Korea,,{},98943753,"98,943,753",US$,7,75,8. Policy and Governance,fig_8.3.5,8. Policy and Governance\Data\fig_8.3.5.csv,8. Policy and Governance\Charts\fig_8.3.5.pdf,Korea-specific private AI investment or company funding indicator.,"{""Agriculture and environment"": ""0"", ""Business and enterprise services"": ""1727533616"", ""Consumer and lifestyle"": ""817381952"", ""Education"": ""154649908"", ""Financial services"": ""282156335"", ""General-purpose AI capabilities"": ""888859328"", ""Healthcare and life sciences"": ""10931964409"", ""Industry, energy and infrastructure"": ""282862141"", ""Legal services"": ""117400000"", ""Public sector and governance"": ""40536544"", ""Security and defense"": ""98943753"", ""country"": ""South Korea""}"
Industrial adoption and deployment,"Share of respondents who say their organization uses AI in at least one function, 2017–25",H2 2025 AI Diffusion,South Korea,,{},30.70%,30.7%,percent,18,147,4. Economy,fig_4.3.1,4. Economy\Data\fig_4.3.1.csv,4. Economy\Charts\fig_4.3.1.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""Economy"": ""South Korea"", ""H2 2025 AI Diffusion"": ""30.70%""}"
Industrial adoption and deployment,"AI diffusion by geographic area, second half 2025",H2 2025 AI Diffusion (%),South Korea,,{},30.7%,30.7%,percent,18,144,4. Economy,fig_4.3.10,4. Economy\Data\fig_4.3.10.csv,4. Economy\Charts\fig_4.3.10.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""Country"": ""South Korea"", ""H2 2025 AI Diffusion (%)"": ""30.7%""}"
Industrial adoption and deployment,"AI diffusion by top 30 geographic areas, first vs. second half 2025",H1 2025 AI Diffusion,South Korea,,{},25.9,25.9%,percent,25,30,4. Economy,fig_4.3.12,4. Economy\Data\fig_4.3.12.csv,4. Economy\Charts\fig_4.3.12.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""Economy"": ""South Korea"", ""H1 2025 AI Diffusion"": ""25.9"", ""H2 2025 AI Diffusion"": ""30.7""}"
Industrial adoption and deployment,"AI diffusion by top 30 geographic areas, first vs. second half 2025",H2 2025 AI Diffusion,South Korea,,{},30.7,30.7%,percent,18,30,4. Economy,fig_4.3.12,4. Economy\Data\fig_4.3.12.csv,4. Economy\Charts\fig_4.3.12.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""Economy"": ""South Korea"", ""H1 2025 AI Diffusion"": ""25.9"", ""H2 2025 AI Diffusion"": ""30.7""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,1/1/18,"{""date"": ""1/1/18""}",0.05633,0.0563,index,26,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""1/1/18"", ""relative_ai_hiring_index"": ""0.05633""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,1/1/19,"{""date"": ""1/1/19""}",0.25933,0.2593,index,3,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""1/1/19"", ""relative_ai_hiring_index"": ""0.25933""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,1/1/20,"{""date"": ""1/1/20""}",-0.12483,-0.1248,index,43,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""1/1/20"", ""relative_ai_hiring_index"": ""-0.12483""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,1/1/21,"{""date"": ""1/1/21""}",0.08526,0.0853,index,15,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""1/1/21"", ""relative_ai_hiring_index"": ""0.08526""}"
