observation_id,indicator_id,indicator_name,category,subcategory,country_iso3,country_name,comparison_group,period_type,year,period_start,period_end,period_label,value_raw,value_numeric,unit,unit_standardized,value_standardized,standardization_note,indicator_type,source_id,source_name,source_url,source_file_path,source_publication_date,retrieved_at,confidence_tier,uncertainty_note,is_canonical,canonical_selection_reason,source_priority,dedupe_key,normalization_method,notes
obs_2777ac35908283,ai_index_fig_9_1_4_response,Change in public attitudes toward AI products and services by country,Social Readiness,Response,KOR,South Korea,KOR/USA/CHN,,,,,,-0.02,-0.02,percent,percent,-2.0,Converted decimal share to percent.,survey_metric,stanford_ai_index_2026_public_data_bundle,2026 AI Index Report public data bundle,https://hai.stanford.edu/ai-index,9. Public Opinion\Data\fig_9.1.4.csv,,2026-05-03T06:51:20+00:00,medium_high,Korea-specific public or worker attitude indicator.,False,,5,ai_index_fig_9_1_4_response|KOR|||percent,mapped_to_master_schema,"Source figure: fig_9.1.4; source chapter: 9. Public Opinion | Korea-specific public or worker attitude indicator. | {""Category"": ""I know which types of products and services use artificial intelligence""} | Original fields: {""Category"": ""I know which types of products and services use artificial intelligence"", ""Country"": ""South Korea"", ""Response"": ""-0.02""}"
obs_68cb026f6c41d9,ai_index_fig_9_1_4_response,Change in public attitudes toward AI products and services by country,Social Readiness,Response,KOR,South Korea,KOR/USA/CHN,,,,,,0.01,0.01,percent,percent,1.0,Converted decimal share to percent.,survey_metric,stanford_ai_index_2026_public_data_bundle,2026 AI Index Report public data bundle,https://hai.stanford.edu/ai-index,9. Public Opinion\Data\fig_9.1.4.csv,,2026-05-03T06:51:20+00:00,medium_high,Korea-specific public or worker attitude indicator.,False,,5,ai_index_fig_9_1_4_response|KOR|||percent,mapped_to_master_schema,"Source figure: fig_9.1.4; source chapter: 9. Public Opinion | Korea-specific public or worker attitude indicator. | {""Category"": ""Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years""} | Original fields: {""Category"": ""Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years"", ""Country"": ""South Korea"", ""Response"": ""0.01""}"
obs_d6d65e4f136934,ai_index_fig_1_8_3_pct_share,"Percentage of top AI authors and inventors by education level and country, 2010–25","Talent, Public Sector, and Defense",pct_share,KOR,South Korea,KOR/USA/CHN,annual,2014,2014-01-01,2014-12-31,2014,0.0002,0.0002,percent,percent,0.02,Converted decimal share to percent.,observed_metric,stanford_ai_index_2026_public_data_bundle,2026 AI Index Report public data bundle,https://hai.stanford.edu/ai-index,1. Research and Development\Data\fig_1.8.3.csv,,2026-05-03T06:51:20+00:00,medium_high,"Korea-specific AI talent, education, graduate, or skills indicator.",False,,5,ai_index_fig_1_8_3_pct_share|KOR|2014-01-01|2014-12-31|percent,mapped_to_master_schema,"Source figure: fig_1.8.3; source chapter: 1. Research and Development | Korea-specific AI talent, education, graduate, or skills indicator. | {""country_code"": ""KR"", ""education_label"": ""High School"", ""year"": ""2014""} | Original fields: {""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""High School"", ""pct_share"": ""0.0002"", ""year"": ""2014""}"
obs_12e9e238a60d87,ai_index_fig_1_8_3_pct_share,"Percentage of top AI authors and inventors by education level and country, 2010–25","Talent, Public Sector, and Defense",pct_share,KOR,South Korea,KOR/USA/CHN,annual,2015,2015-01-01,2015-12-31,2015,0.0002,0.0002,percent,percent,0.02,Converted decimal share to percent.,observed_metric,stanford_ai_index_2026_public_data_bundle,2026 AI Index Report public data bundle,https://hai.stanford.edu/ai-index,1. Research and Development\Data\fig_1.8.3.csv,,2026-05-03T06:51:20+00:00,medium_high,"Korea-specific AI talent, education, graduate, or skills indicator.",False,,5,ai_index_fig_1_8_3_pct_share|KOR|2015-01-01|2015-12-31|percent,mapped_to_master_schema,"Source figure: fig_1.8.3; source chapter: 1. Research and Development | Korea-specific AI talent, education, graduate, or skills indicator. | {""country_code"": ""KR"", ""education_label"": ""High School"", ""year"": ""2015""} | Original fields: {""country"": ""South Korea"", ""country_code"": ""KR"", ""education_label"": ""High School"", ""pct_share"": ""0.0002"", ""year"": ""2015""}"
