observation_id,indicator_id,indicator_name,category,subcategory,country_iso3,country_name,comparison_group,period_type,year,period_start,period_end,period_label,value_raw,value_numeric,unit,unit_standardized,value_standardized,standardization_note,indicator_type,source_id,source_name,source_url,source_file_path,source_publication_date,retrieved_at,confidence_tier,uncertainty_note,is_canonical,canonical_selection_reason,source_priority,dedupe_key,normalization_method,notes
obs_73acda1a45d157,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,CHN,China,KOR/USA/CHN,annual,2026,2026-01-01,2026-12-31,2026,71641.0,71641.0,count,count,71641.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2026-01-01,to_publication_date:2026-12-31,authorships.institutions.country_code:CN,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:16+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|CHN|2026-01-01|2026-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_a10ffedeca80c5,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,KOR,South Korea,KOR/USA/CHN,annual,2020,2020-01-01,2020-12-31,2020,14348.0,14348.0,count,count,14348.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2020-01-01,to_publication_date:2020-12-31,authorships.institutions.country_code:KR,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:13+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|KOR|2020-01-01|2020-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_4320bf52e2987a,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,KOR,South Korea,KOR/USA/CHN,annual,2021,2021-01-01,2021-12-31,2021,16072.0,16072.0,count,count,16072.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2021-01-01,to_publication_date:2021-12-31,authorships.institutions.country_code:KR,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:13+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|KOR|2021-01-01|2021-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_68918b65aa9822,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,KOR,South Korea,KOR/USA/CHN,annual,2022,2022-01-01,2022-12-31,2022,17123.0,17123.0,count,count,17123.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2022-01-01,to_publication_date:2022-12-31,authorships.institutions.country_code:KR,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:13+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|KOR|2022-01-01|2022-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_dcc9fea945e0ba,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,KOR,South Korea,KOR/USA/CHN,annual,2023,2023-01-01,2023-12-31,2023,19322.0,19322.0,count,count,19322.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2023-01-01,to_publication_date:2023-12-31,authorships.institutions.country_code:KR,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:13+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|KOR|2023-01-01|2023-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_bfcecc652c244c,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,KOR,South Korea,KOR/USA/CHN,annual,2024,2024-01-01,2024-12-31,2024,18184.0,18184.0,count,count,18184.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2024-01-01,to_publication_date:2024-12-31,authorships.institutions.country_code:KR,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:14+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|KOR|2024-01-01|2024-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_5bb287ea9ad099,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,KOR,South Korea,KOR/USA/CHN,annual,2025,2025-01-01,2025-12-31,2025,19283.0,19283.0,count,count,19283.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2025-01-01,to_publication_date:2025-12-31,authorships.institutions.country_code:KR,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:14+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|KOR|2025-01-01|2025-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_59e9df664003d3,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,KOR,South Korea,KOR/USA/CHN,annual,2026,2026-01-01,2026-12-31,2026,6749.0,6749.0,count,count,6749.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2026-01-01,to_publication_date:2026-12-31,authorships.institutions.country_code:KR,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:14+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|KOR|2026-01-01|2026-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_aad592accc7953,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,USA,United States,KOR/USA/CHN,annual,2020,2020-01-01,2020-12-31,2020,123156.0,123156.0,count,count,123156.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2020-01-01,to_publication_date:2020-12-31,authorships.institutions.country_code:US,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:14+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|USA|2020-01-01|2020-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_fa745ff4327be6,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,USA,United States,KOR/USA/CHN,annual,2021,2021-01-01,2021-12-31,2021,118900.0,118900.0,count,count,118900.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2021-01-01,to_publication_date:2021-12-31,authorships.institutions.country_code:US,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:14+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|USA|2021-01-01|2021-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
